crop,tkw_low_g_per_1000,tkw_high_g_per_1000,seeding_rate_low_seeds_per_ha_direct,seeding_rate_high_seeds_per_ha_direct,seeding_rate_low_kg_per_ha_low_tkw,seeding_rate_low_kg_per_ha_high_tkw,seeding_rate_high_kg_per_ha_low_tkw,seeding_rate_high_kg_per_ha_high_tkw,seeds_per_ha_low,seeds_per_ha_high,seeds_per_ha_low_basis,seeds_per_ha_high_basis,spring_seeded,fall_seeded,broadcast_seeded,drill_seeded,precision_planted,source,status
Asparagus,20.0,20.0,,,11.0,11.0,11.0,11.0,550000.0,550000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,PMRA 2015,ASSESSMENT_DEFAULT
Barley,24.8,59.5,1800000.0,4700000.0,44.64,107.1,116.56,279.65,1800000.0,4700000.0,DIRECT,DIRECT,TRUE,TRUE,TRUE,TRUE,FALSE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, broad/faba, large-seeded",800.0,1680.0,71759.0,215278.0,57.407199999999996,120.55512,172.2224,361.66704,71759.0,215278.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, broad/faba, small-seeded",200.0,800.0,250000.0,650000.0,50.0,200.0,130.0,520.0,250000.0,650000.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, coloured excluding kidney and cranberry , narrow row/solid seeding",240.0,435.0,344548.0,784314.0,82.69152,149.87838,188.23536,341.17659,344548.0,784314.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, coloured excluding kidney and cranberry , wide row/standard planting",240.0,435.0,151316.0,375940.0,36.31584,65.82246,90.2256,163.5339,151316.0,375940.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, kidney and cranberry",459.0,690.0,98842.0,216981.0,45.368478,68.20098,99.594279,149.71688999999998,98842.0,216981.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, lima",250.0,1134.0,71759.0,287038.0,17.93975,81.374706,71.7595,325.501092,71759.0,287038.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, navy/white and black, narrow row/solid seeding",160.0,265.0,602958.0,784314.0,96.47328,159.78387,125.49023999999999,207.84321,602958.0,784314.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, navy/white and black, wide row/standard planting",160.0,265.0,108726.0,375940.0,17.39616,28.81239,60.150400000000005,99.62410000000001,108726.0,375940.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, snap",206.0,534.0,84848.0,640000.0,17.478688,45.308832,131.84,341.76,84848.0,640000.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Bean, Vigna anugularis  (adzuki bean) or Vigna unguiculata (yardlong bean /cowpea/black-eyed pea/southern pea/crowder pea/ /Chinese long bean)",91.0,207.0,16667.0,327206.0,1.5166970000000002,3.4500690000000005,29.775746,67.73164200000001,16667.0,327206.0,DIRECT,DIRECT,TRUE,FALSE,FALSE,TRUE,TRUE,EAD Seed Weight and Seeding Rate Report (2025;August DRAFT),ASSESSMENT_DEFAULT
"Beet, garden",20.0,20.0,,,7.0,7.0,7.0,7.0,350000.0,350000.0,CONVERTED_FROM_MASS,CONVERTED_FROM_MASS,TRUE,FALSE,FALSE,TRUE,TRUE,PMRA 2015,ASSESSMENT_DEFAULT
