workbook,seed_use_number,crop,rate_level,application_rate,application_rate_unit,source,status
small_cereals,1.0,Barley,high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,1.0,Barley,mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,1.0,Barley,low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,2.0,Rye,high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,2.0,Rye,mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,2.0,Rye,low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,3.0,Triticale,high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,3.0,Triticale,mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,3.0,Triticale,low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,4.0,"Wheat, Durum",high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,4.0,"Wheat, Durum",mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,4.0,"Wheat, Durum",low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,5.0,"Wheat, spring (non-durum)",high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,5.0,"Wheat, spring (non-durum)",mid,200.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,5.0,"Wheat, spring (non-durum)",low,100.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
small_cereals,6.0,"Wheat, winter (non-durum)",high,300.0,mg a.i./kg seed,VUI 3622323,ASSESSMENT_DEFAULT
