use_id,crop,rate_value,rate_unit,rate_level,planting_method,workbook,product_identifier,region,target_pest,notes
small_cereals|Barley|high|300.000|mg a.i./kg seed,Barley,300,mg a.i./kg seed,high,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals|Barley|high|300.000|mg a.i./kg seed,Barley,300,mg a.i./kg seed,high,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals|Barley|high|300.000|mg a.i./kg seed,Barley,300,mg a.i./kg seed,high,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals|Barley|mid|200.000|mg a.i./kg seed,Barley,200,mg a.i./kg seed,mid,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals|Barley|mid|200.000|mg a.i./kg seed,Barley,200,mg a.i./kg seed,mid,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals|Barley|mid|200.000|mg a.i./kg seed,Barley,200,mg a.i./kg seed,mid,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals|Barley|low|100.000|mg a.i./kg seed,Barley,100,mg a.i./kg seed,low,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals|Barley|low|100.000|mg a.i./kg seed,Barley,100,mg a.i./kg seed,low,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals|Barley|low|100.000|mg a.i./kg seed,Barley,100,mg a.i./kg seed,low,drill_fall,small_cereals,VUI 3622323,NA,NA,seed_use_number=1; status=ASSESSMENT_DEFAULT
small_cereals|Rye|high|300.000|mg a.i./kg seed,Rye,300,mg a.i./kg seed,high,broadcast,small_cereals,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
small_cereals|Rye|high|300.000|mg a.i./kg seed,Rye,300,mg a.i./kg seed,high,drill_spring,small_cereals,VUI 3622323,NA,NA,seed_use_number=2; status=ASSESSMENT_DEFAULT
